;Tabela 1: Liczba hospitalizacji i liczba punktów za hospitalizacje wg rozpoznań i sekcji produktów
;Rozdział ICD10;Województwo;Poziom szpitala w ramach ryczałtu PSZ;Sekcja JGP;Maj 2021;;Kwiecień 2021;;Maj 2020;;Maj 2021 / Kwiecień 2021;;Maj 2021 / Maj 2020
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubuskie;SZPITAL III STOPNIA;H Choroby układu mięśniowo-szkieletowego;126;1413311.8032;118;1424522.4112;91;1124022.7628;0.067797;-0.00787;0.384615;0.257369
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubuskie;SZPITAL III STOPNIA;P Choroby dzieci - leczenie zachowawcze;< 5;4688.1936;< 5;36058.068;;; ;-0.869982; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubuskie;SZPITAL III STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;< 5;21053.6;;;;; ;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubuskie;SZPITAL OGÓLNOPOLSKI;A Choroby układu nerwowego;22;173713;9;91968;13;169209;1.444444;0.888842;0.692308;0.026618
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubuskie;SZPITAL OGÓLNOPOLSKI;D Choroby układu oddechowego;;;;;< 5;30431;;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubuskie;SZPITAL OGÓLNOPOLSKI;H Choroby układu mięśniowo-szkieletowego;55;435762.1272;37;323251.724;32;146296.02;0.486486;0.348058;0.71875;1.978633
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Lubuskie;SZPITAL OGÓLNOPOLSKI;PZ Choroby dzieci - leczenie zabiegowe;< 5;3650.68944;;;;; ;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Łódzkie;POZA PSZ;H Choroby układu mięśniowo-szkieletowego;151;1350982.36;109;984082.04;93;807249.14;0.385321;0.372835;0.623656;0.673563
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Łódzkie;SZPITAL I STOPNIA;A Choroby układu nerwowego;5;26097;5;25201.32;< 5;6598.18;0;0.035541; ;2.955182
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Łódzkie;SZPITAL I STOPNIA;H Choroby układu mięśniowo-szkieletowego;194;1371931.784;165;1133422.633;122;981699.516;0.175758;0.210433;0.590164;0.397507
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Łódzkie;SZPITAL I STOPNIA;J Choroby piersi, skóry i oparzenia;;;< 5;3914.76;;; ;;;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Łódzkie;SZPITAL I STOPNIA;P Choroby dzieci - leczenie zachowawcze;< 5;7375.428;;;;; ;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Łódzkie;SZPITAL II STOPNIA;A Choroby układu nerwowego;24;42512.92;16;67849.78;21;39439.32;0.5;-0.373426;0.142857;0.077932
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Łódzkie;SZPITAL II STOPNIA;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;< 5;8889.01;;;;; ;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Łódzkie;SZPITAL II STOPNIA;H Choroby układu mięśniowo-szkieletowego;275;2302071.256;209;1834714.798;226;1764514.716;0.315789;0.25473;0.216814;0.304648
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Łódzkie;SZPITAL II STOPNIA;P Choroby dzieci - leczenie zachowawcze;< 5;2607.012;;;< 5;2453.1; ;; ;0.062742
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Łódzkie;SZPITAL II STOPNIA;PZ Choroby dzieci - leczenie zabiegowe;< 5;2432.484;;;;; ;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Łódzkie;SZPITAL III STOPNIA;A Choroby układu nerwowego;48;416603;40;420155;35;309384;0.2;-0.008454;0.371429;0.346556
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Łódzkie;SZPITAL III STOPNIA;D Choroby układu oddechowego;< 5;19633;< 5;14024;< 5;16827; ;0.399957; ;0.166756
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Łódzkie;SZPITAL III STOPNIA;H Choroby układu mięśniowo-szkieletowego;281;2177302.3572;251;1735241.026;101;670641.86;0.119522;0.254755;1.782178;2.246595
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Łódzkie;SZPITAL III STOPNIA;P Choroby dzieci - leczenie zachowawcze;< 5;3671.6328;6;15625.71;< 5;2375; ;-0.765026; ;0.545951
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Łódzkie;SZPITAL III STOPNIA;PZ Choroby dzieci - leczenie zabiegowe;6;36194.70744;5;35806.6008;;;0.2;0.010839;;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Łódzkie;SZPITAL OGÓLNOPOLSKI;A Choroby układu nerwowego;50;471232;35;343425;20;226417;0.428571;0.372154;1.5;1.081257
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Łódzkie;SZPITAL OGÓLNOPOLSKI;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;< 5;26835;< 5;8097;< 5;8801; ;2.31419; ;2.049085
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Łódzkie;SZPITAL OGÓLNOPOLSKI;D Choroby układu oddechowego;< 5;11787.8744;< 5;13288;< 5;2806; ;-0.112893; ;3.200953
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Łódzkie;SZPITAL OGÓLNOPOLSKI;H Choroby układu mięśniowo-szkieletowego;452;3371108.84192;467;3529970.32192;253;1559806.9728;-0.03212;-0.045004;0.786561;1.161235
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Łódzkie;SZPITAL OGÓLNOPOLSKI;J Choroby piersi, skóry i oparzenia;;;< 5;3531;;; ;;;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Łódzkie;SZPITAL OGÓLNOPOLSKI;P Choroby dzieci - leczenie zachowawcze;17;72782.712;20;62612.07984;13;38797;-0.15;0.162439;0.307692;0.875988
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Łódzkie;SZPITAL OGÓLNOPOLSKI;PZ Choroby dzieci - leczenie zabiegowe;52;499674.116088;64;515234.667744;40;313204.93;-0.1875;-0.030201;0.3;0.595358
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Łódzkie;SZPITAL PULMONOLOGICZNY;A Choroby układu nerwowego;< 5;5490;;;5;8236; ;; ;-0.333414
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Łódzkie;SZPITAL PULMONOLOGICZNY;H Choroby układu mięśniowo-szkieletowego;;;< 5;6156;;; ;;;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Małopolskie;POZA PSZ;A Choroby układu nerwowego;< 5;13442;7;18296;;; ;-0.265304; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Małopolskie;POZA PSZ;H Choroby układu mięśniowo-szkieletowego;214;2137450.24;213;1947226.7;113;1122631.9;0.004695;0.097689;0.893805;0.903964
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Małopolskie;POZA PSZ;PZ Choroby dzieci - leczenie zabiegowe;13;87176.5;7;44290.8;9;41690.4;0.857143;0.968276;0.444444;1.091045
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Małopolskie;SZPITAL I STOPNIA;A Choroby układu nerwowego;38;216231.52;31;96812.5;22;52071.65;0.225806;1.233508;0.727273;3.152577
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Małopolskie;SZPITAL I STOPNIA;D Choroby układu oddechowego;< 5;9946.04;< 5;6057.72;;; ;0.641878; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Małopolskie;SZPITAL I STOPNIA;H Choroby układu mięśniowo-szkieletowego;546;4298019.032;426;3210624.804;315;2627624.65;0.28169;0.338686;0.733333;0.635705
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Małopolskie;SZPITAL I STOPNIA;J Choroby piersi, skóry i oparzenia;;;;;< 5;7138.93;;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Małopolskie;SZPITAL I STOPNIA;P Choroby dzieci - leczenie zachowawcze;13;32304.42;7;24027.084;< 5;2461.7;0.857143;0.3445; ;12.122809
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Małopolskie;SZPITAL II STOPNIA;A Choroby układu nerwowego;83;418752.1;88;500948.22;61;374671.97;-0.056818;-0.164081;0.360656;0.11765
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Małopolskie;SZPITAL II STOPNIA;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;< 5;23680.46;< 5;34946;< 5;26212.98; ;-0.32237; ;-0.096613
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Małopolskie;SZPITAL II STOPNIA;D Choroby układu oddechowego;< 5;23299.62;< 5;21623.64;< 5;11221; ;0.077507; ;1.07643
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Małopolskie;SZPITAL II STOPNIA;H Choroby układu mięśniowo-szkieletowego;671;5955761.7661;571;5092162.0049;587;5060286.697;0.175131;0.169594;0.143101;0.176961
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Małopolskie;SZPITAL II STOPNIA;J Choroby piersi, skóry i oparzenia;< 5;5604.288;;;;; ;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Małopolskie;SZPITAL II STOPNIA;P Choroby dzieci - leczenie zachowawcze;< 5;2565;< 5;5178.6;< 5;2453.1; ;-0.504692; ;0.045616
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Małopolskie;SZPITAL II STOPNIA;PZ Choroby dzieci - leczenie zabiegowe;< 5;18310.57056;;;< 5;12451.854; ;; ;0.47051
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Małopolskie;SZPITAL III STOPNIA;A Choroby układu nerwowego;< 5;3660;< 5;4576;6;9152; ;-0.200175; ;-0.600087
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Małopolskie;SZPITAL III STOPNIA;H Choroby układu mięśniowo-szkieletowego;42;178535.52;30;137678;49;181041.8;0.4;0.296761;-0.142857;-0.013844
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Małopolskie;SZPITAL III STOPNIA;P Choroby dzieci - leczenie zachowawcze;< 5;2565;< 5;18199.08;< 5;5460; ;-0.859059; ;-0.53022
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Małopolskie;SZPITAL III STOPNIA;PZ Choroby dzieci - leczenie zabiegowe;;;< 5;3345.732;< 5;2260; ;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Małopolskie;SZPITAL OGÓLNOPOLSKI;A Choroby układu nerwowego;58;561051.76;55;509464;18;111781;0.054545;0.101259;2.222222;4.019205
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Małopolskie;SZPITAL OGÓLNOPOLSKI;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;< 5;26835;< 5;16898;< 5;17894.19; ;0.588058; ;0.499649
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Małopolskie;SZPITAL OGÓLNOPOLSKI;D Choroby układu oddechowego;7;26071;< 5;9178;10;32291.36; ;1.840597;-0.3;-0.192632
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Małopolskie;SZPITAL OGÓLNOPOLSKI;F Choroby przewodu pokarmowego;;;< 5;650;;; ;;;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Małopolskie;SZPITAL OGÓLNOPOLSKI;H Choroby układu mięśniowo-szkieletowego;375;3907400.048;290;3257319.8212;206;2177559.5055;0.293103;0.199575;0.820388;0.794394
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Małopolskie;SZPITAL OGÓLNOPOLSKI;J Choroby piersi, skóry i oparzenia;;;;;< 5;1949;;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Małopolskie;SZPITAL OGÓLNOPOLSKI;P Choroby dzieci - leczenie zachowawcze;11;30032.3946;11;39245.6152;5;11905;0;-0.234758;1.2;1.522671
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Małopolskie;SZPITAL OGÓLNOPOLSKI;PZ Choroby dzieci - leczenie zabiegowe;7;133271.6652;< 5;97237.152;< 5;46473.33; ;0.370584; ;1.867702
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Małopolskie;SZPITAL PEDIATRYCZNY;D Choroby układu oddechowego;;;;;< 5;5654;;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Małopolskie;SZPITAL PEDIATRYCZNY;H Choroby układu mięśniowo-szkieletowego;27;106202.88;24;90327.96;11;30917;0.125;0.175748;1.454545;2.435097
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Małopolskie;SZPITAL PEDIATRYCZNY;P Choroby dzieci - leczenie zachowawcze;17;43605;15;39225.6;10;24200;0.133333;0.111646;0.7;0.80186
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Małopolskie;SZPITAL PULMONOLOGICZNY;D Choroby układu oddechowego;;;;;< 5;7676;;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;POZA PSZ;A Choroby układu nerwowego;< 5;12095.8;< 5;33539.4;6;67078.8; ;-0.639356; ;-0.819678
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;POZA PSZ;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;13;65913;9;53199;13;72471;0.444444;0.238989;0;-0.090491
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;POZA PSZ;H Choroby układu mięśniowo-szkieletowego;156;1085146.18;140;1032392.62;83;445023.86;0.114286;0.051098;0.879518;1.4384
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;POZA PSZ;J Choroby piersi, skóry i oparzenia;< 5;6377;;;< 5;3262; ;; ;0.954936
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;SZPITAL I STOPNIA;A Choroby układu nerwowego;49;305469.24;28;170743.92;32;91297.14;0.75;0.789049;0.53125;2.34588
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;SZPITAL I STOPNIA;H Choroby układu mięśniowo-szkieletowego;741;4884821.648;511;3492585.588;336;2315697.528;0.450098;0.398626;1.205357;1.109439
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;SZPITAL I STOPNIA;J Choroby piersi, skóry i oparzenia;5;16653.54;< 5;9121.656;;; ;0.825715;;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;SZPITAL I STOPNIA;P Choroby dzieci - leczenie zachowawcze;< 5;7743.6;5;13286.025;< 5;10156.65; ;-0.417162; ;-0.237583
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;SZPITAL II STOPNIA;A Choroby układu nerwowego;130;881534.06;101;787191.98;46;390640.62;0.287129;0.119846;1.826087;1.256637
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;SZPITAL II STOPNIA;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;;;< 5;1414;;; ;;;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;SZPITAL II STOPNIA;H Choroby układu mięśniowo-szkieletowego;575;5281605.564;479;4746024.4204;283;2492089.536;0.200418;0.112848;1.031802;1.119348
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;SZPITAL II STOPNIA;J Choroby piersi, skóry i oparzenia;< 5;7752.76;;;;; ;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;SZPITAL II STOPNIA;P Choroby dzieci - leczenie zachowawcze;< 5;9876.6;< 5;8711.6;< 5;8354.82; ;0.13373; ;0.182144
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;SZPITAL II STOPNIA;PZ Choroby dzieci - leczenie zabiegowe;< 5;2439.504;;;< 5;3429.036; ;; ;-0.288574
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;SZPITAL II STOPNIA;Q Choroby naczyń;;;< 5;1432.18;;; ;;;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;SZPITAL III STOPNIA;A Choroby układu nerwowego;57;344857;37;252644;40;306718;0.540541;0.364992;0.425;0.124345
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;SZPITAL III STOPNIA;D Choroby układu oddechowego;< 5;2806;;;< 5;2806; ;; ;0
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;SZPITAL III STOPNIA;H Choroby układu mięśniowo-szkieletowego;283;2868121.9036;230;2236470.948;173;1465382.95;0.230435;0.282432;0.635838;0.957251
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;SZPITAL III STOPNIA;P Choroby dzieci - leczenie zachowawcze;6;15910.695;6;12969.045;< 5;8058;0;0.226821; ;0.974522
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;SZPITAL III STOPNIA;PZ Choroby dzieci - leczenie zabiegowe;< 5;2408.4;;;;; ;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;SZPITAL OGÓLNOPOLSKI;A Choroby układu nerwowego;137;1373153.514748;94;913897;85;852732;0.457447;0.502525;0.611765;0.610299
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;SZPITAL OGÓLNOPOLSKI;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;< 5;19196;8;45665.93;< 5;8801; ;-0.579643; ;1.181116
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;SZPITAL OGÓLNOPOLSKI;D Choroby układu oddechowego;33;194972.44;40;202243.76;19;103131.08;-0.175;-0.035953;0.736842;0.89053
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;SZPITAL OGÓLNOPOLSKI;H Choroby układu mięśniowo-szkieletowego;1052;8526092.746;1083;9458500.0766;551;4870161.26;-0.028624;-0.098579;0.909256;0.75068
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;SZPITAL OGÓLNOPOLSKI;J Choroby piersi, skóry i oparzenia;;;;;< 5;6931;;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;SZPITAL OGÓLNOPOLSKI;K Choroby układu dokrewnego;;;< 5;12637.97;;; ;;;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;SZPITAL OGÓLNOPOLSKI;L Choroby układu moczowo-płciowego;15;54646;17;67377;13;46169;-0.117647;-0.188952;0.153846;0.183608
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;SZPITAL OGÓLNOPOLSKI;P Choroby dzieci - leczenie zachowawcze;27;72589.9846;22;85118.1372;23;56176;0.227273;-0.147185;0.173913;0.292189
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;SZPITAL OGÓLNOPOLSKI;PZ Choroby dzieci - leczenie zabiegowe;47;617794.804728;44;660092.318496;44;729886.65;0.068182;-0.064078;0.068182;-0.153574
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;SZPITAL OGÓLNOPOLSKI;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;5;118736;;;;;;;;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;SZPITAL PEDIATRYCZNY;D Choroby układu oddechowego;;;;;< 5;5729;;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;SZPITAL PEDIATRYCZNY;H Choroby układu mięśniowo-szkieletowego;12;48477.96;10;47467.08;6;21644;0.2;0.021296;1;1.239787
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;SZPITAL PEDIATRYCZNY;J Choroby piersi, skóry i oparzenia;< 5;6887.16;< 5;6887.16;;; ;0; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;SZPITAL PEDIATRYCZNY;P Choroby dzieci - leczenie zachowawcze;10;31591.296;10;25682.4;6;16007;0;0.230076;0.666667;0.973593
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;SZPITAL PEDIATRYCZNY;PZ Choroby dzieci - leczenie zabiegowe;40;319067.8452;44;310510.3464;17;160984.09;-0.090909;0.027559;1.352941;0.981984
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Mazowieckie;SZPITAL PULMONOLOGICZNY;H Choroby układu mięśniowo-szkieletowego;;;;;< 5;4015;;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Opolskie;POZA PSZ;H Choroby układu mięśniowo-szkieletowego;52;256587;56;229007;50;240157;-0.071429;0.120433;0.04;0.068414
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Opolskie;POZA PSZ;PZ Choroby dzieci - leczenie zabiegowe;< 5;6981.66;< 5;3657.06;;; ;0.909091; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Opolskie;SZPITAL I STOPNIA;A Choroby układu nerwowego;5;9333;;;5;7541.66;;;0;0.237526
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Opolskie;SZPITAL I STOPNIA;D Choroby układu oddechowego;< 5;14024;< 5;25260;< 5;11218; ;-0.444814; ;0.250134
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Opolskie;SZPITAL I STOPNIA;H Choroby układu mięśniowo-szkieletowego;117;670022.292;79;346859.848;55;249300.17;0.481013;0.93168;1.127273;1.687613
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Opolskie;SZPITAL I STOPNIA;J Choroby piersi, skóry i oparzenia;< 5;5206.896;;;;; ;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Opolskie;SZPITAL I STOPNIA;P Choroby dzieci - leczenie zachowawcze;;;;;< 5;2446.25;;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Opolskie;SZPITAL II STOPNIA;A Choroby układu nerwowego;11;19408.16;7;13176.46;5;9333;0.571429;0.472942;1.2;1.07952
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Opolskie;SZPITAL II STOPNIA;D Choroby układu oddechowego;;;< 5;13112.83;;; ;;;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Opolskie;SZPITAL II STOPNIA;H Choroby układu mięśniowo-szkieletowego;77;886676.163982;77;823990.247847;45;489026.087955;0;0.076076;0.711111;0.813147
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Opolskie;SZPITAL OGÓLNOPOLSKI;A Choroby układu nerwowego;13;137484;9;98388;22;171968;0.444444;0.397366;-0.409091;-0.200526
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Opolskie;SZPITAL OGÓLNOPOLSKI;C Choroby twarzy, jamy ustnej, gardła, krtani, nosa i uszu;< 5;20220;;;;; ;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Opolskie;SZPITAL OGÓLNOPOLSKI;H Choroby układu mięśniowo-szkieletowego;80;700308.3908;45;287541.64;107;582157.2;0.777778;1.435503;-0.252336;0.202954
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Opolskie;SZPITAL OGÓLNOPOLSKI;P Choroby dzieci - leczenie zachowawcze;< 5;5130;;;;; ;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Opolskie;SZPITAL PULMONOLOGICZNY;D Choroby układu oddechowego;;;;;< 5;8415;;; ;
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Opolskie;SZPITAL PULMONOLOGICZNY;H Choroby układu mięśniowo-szkieletowego;37;105667;44;131234;58;198959;-0.159091;-0.19482;-0.362069;-0.468901
;M00-M99 Choroby układu mięśniowo-szkieletowego i tkanki łącznej;Podkarpackie;POZA PSZ;H Choroby układu mięśniowo-szkieletowego;92;309575;111;350589;22;40340;-0.171171;-0.116986;3.181818;6.674145
